(terminal history limit, gpt-4o is the first model ran anyways)
=== Model: gpt-4o (openai) | Question 70 ===
Model answer: D | Correct! ✅

=== Model: gpt-4o (openai) | Question 71 ===
Model answer: A | Correct! ✅

=== Model: gpt-4o (openai) | Question 72 ===
Model answer: B | Correct! ✅

=== Model: gpt-4o (openai) | Question 73 ===
Model answer: A | Correct! ✅

=== Model: gpt-4o (openai) | Question 74 ===
Model answer: C | Incorrect ❌ (Correct: A)

=== Model: gpt-4o (openai) | Question 75 ===
Model answer: E | Correct! ✅

=== Model: gpt-4o (openai) | Question 76 ===
Model answer: C | Correct! ✅

=== Model: gpt-4o (openai) | Question 77 ===
Model answer: D | Correct! ✅

=== Model: gpt-4o (openai) | Question 78 ===
Model answer: A | Incorrect ❌ (Correct: C)

=== Model: gpt-4o (openai) | Question 79 ===
Model answer: A | Correct! ✅

=== Model: gpt-4o (openai) | Question 80 ===
Model answer: E | Correct! ✅

=== Model: gpt-4o (openai) | Question 81 ===
Model answer: D | Correct! ✅

=== Model: gpt-4o (openai) | Question 82 ===
Model answer: D | Correct! ✅

=== Model: gpt-4o (openai) | Question 83 ===
Model answer: B | Correct! ✅

=== Model: gpt-4o (openai) | Question 84 ===
Model answer: C | Correct! ✅

=== Model: gpt-4o (openai) | Question 85 ===
Model answer: C | Correct! ✅

=== Model: gpt-4o (openai) | Question 86 ===
Model answer: A | Correct! ✅

=== Model: gpt-4o (openai) | Question 87 ===
Model answer: D | Correct! ✅

=== Model: gpt-4o (openai) | Question 88 ===
Model answer: C | Incorrect ❌ (Correct: E)

=== Model: gpt-4o (openai) | Question 89 ===
Model answer: C | Correct! ✅

=== Model: gpt-4o (openai) | Question 90 ===
Model answer: B | Correct! ✅

=== Model: gpt-4o (openai) | Question 91 ===
Model answer: D | Correct! ✅

=== Model: gpt-4o (openai) | Question 92 ===
Model answer: E | Incorrect ❌ (Correct: B)

=== Model: gpt-4o (openai) | Question 93 ===
Model answer: C | Correct! ✅

=== Model: gpt-4o (openai) | Question 94 ===
Model answer: D | Correct! ✅

=== Model: gpt-4o (openai) | Question 95 ===
Model answer: B | Incorrect ❌ (Correct: E)

=== Model: gpt-4o (openai) | Question 96 ===
Model answer: B | Correct! ✅

=== Model: gpt-4o (openai) | Question 97 ===
Model answer: B | Correct! ✅

=== Model: gpt-4o (openai) | Question 98 ===
Model answer:  | Incorrect ❌ (Correct: B)

=== Model: gpt-4o (openai) | Question 99 ===
Model answer: D | Incorrect ❌ (Correct: E)

=== Model: gpt-4o (openai) | Question 100 ===
Model answer: E | Correct! ✅

=== Model: gpt-4o (openai) | Question 101 ===
Model answer: D | Correct! ✅

=== Model: gpt-4o (openai) | Question 102 ===
Model answer: A | Correct! ✅

=== Model: gpt-4o (openai) | Question 103 ===
Model answer: A | Incorrect ❌ (Correct: E)

=== Model: gpt-4o (openai) | Question 104 ===
Model answer: A | Correct! ✅

=== Model: gpt-4o (openai) | Question 105 ===
Model answer: E | Correct! ✅

=== Model: gpt-4o (openai) | Question 106 ===
Model answer: C | Correct! ✅

=== Model: gpt-4o (openai) | Question 107 ===
Model answer: D | Incorrect ❌ (Correct: E)

=== Model: gpt-4o (openai) | Question 108 ===
Model answer: B | Correct! ✅

=== Model: gpt-4o (openai) | Question 109 ===
Model answer: D | Correct! ✅

=== Model: gpt-4o (openai) | Question 110 ===
Model answer: D | Correct! ✅

=== Model: gpt-4o (openai) | Question 111 ===
Model answer: E | Correct! ✅

=== Model: gpt-4o (openai) | Question 112 ===
Model answer: B | Correct! ✅

=== Model: gpt-4o (openai) | Question 113 ===
Model answer:  | Incorrect ❌ (Correct: F)

=== Model: gpt-4o (openai) | Question 114 ===
Model answer: A | Correct! ✅

=== Model: gpt-4o (openai) | Question 115 ===
Model answer: E | Correct! ✅

=== Model: gpt-4o (openai) | Question 116 ===
Model answer: A | Correct! ✅

=== Model: gpt-4o (openai) | Question 117 ===
Model answer: E | Correct! ✅

=== Model: gpt-4o (openai) | Question 118 ===
Model answer: A | Correct! ✅

=== Model: gpt-4o (openai) | Question 119 ===
Model answer: D | Correct! ✅

=====================================
Model: gpt-4o  (engine=openai)
Result: 100 / 119 correct
Percentage correct: 84.0%
Time taken: 00 hours 05 minutes 25 seconds
Time per Q: 2.7s
=====================================

=== Model: gpt-4o-mini (openai) | Question 1 ===
Model answer: A | Correct! ✅

=== Model: gpt-4o-mini (openai) | Question 2 ===
